capacidad,precio,fecha,folio,cliente,estado,concepto
"5 HP","6800","2025-12-01","S00007","INGENIO PRESIDENTE BENITO JUAREZ","sent","BOBINADO DE MOTOR 5HP Servicio de mantenimiento correct"
"5 HP","7000","2026-07-04","S00269","Ajemex","sale","Embobinado de motor 5 HP Servicio de embobinado de moto"
"5 HP","11500","2026-07-21","S00305","Ajemex","sale","Servicio de Bobinado de Motor de 5HP Consiste en cambio"
"5 HP","17000","2026-01-27","S00033","Grupo Industrial Vértice del Sureste, S.A. de C.V.","sale","BOBINADO DE MOTOR 5HP Servicio de mantenimiento correct"
"7.5 HP","4200","2026-06-13","S00042","Embotelladora Mexicana de Bebidas Refrescantes","sale","MX206643Ser embobinado motor 7.5 HP cambiar STD Servici"
"7.5 HP","4200","2026-03-10","S00092","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","sale","MX206643Ser embobinado motor 7.5 HP cambiar STD Servici"
"7.5 HP","6300","2026-01-14","S00057","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","draft","MX206824Ser embobinado motor 7.5 HP cambiar EXT Servici"
"7.5 HP","8400","2026-02-19","S00116","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 7.5HP Servicio de mantenimiento corre"
"7.5 HP","9500","2026-07-21","S00313","PUBLICO GENERAL","draft","BOBINADO DE MOTOR 7.5HP Servicio de mantenimiento corre"
"7.5 HP","9500","2026-07-07","S00296","Embotelladora Mexicana de Bebidas Refrescantes","sale","BOBINADO DE MOTOR 7.5HP Serv.Cambio de alambre magneto "
"7.5 HP","9500","2026-06-17","S00268","Ajemex","draft","BOBINADO DE MOTOR 7.5HP Servicio de mantenimiento corre"
"7.5 HP","9500","2026-04-10","S00193","ACUAGRANJAS DOS LAGOS","draft","BOBINADO DE MOTOR 7.5HP Servicio de mantenimiento corre"
"7.5 HP","9500","2026-03-23","S00169","Vimifos, S.A. de C.V.","draft","BOBINADO DE MOTOR 7.5HP Servicio de mantenimiento corre"
"7.5 HP","9500","2026-03-10","S00131","Vimifos, S.A. de C.V.","sale","BOBINADO DE MOTOR 7.5HP Servicio de mantenimiento corre"
"7.5 HP","9500","2026-02-19","S00118","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","draft","BOBINADO DE MOTOR 7.5HP Servicio de mantenimiento corre"
"7.5 HP","9500","2026-02-18","S00111","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","draft","BOBINADO DE MOTOR 7.5HP Servicio de bobinado en estator"
"7.5 HP","9500","2025-12-01","S00007","INGENIO PRESIDENTE BENITO JUAREZ","sent","BOBINADO DE MOTOR 7.5HP Servicio de mantenimiento corre"
"7.5 HP","15000","2025-12-06","S00016","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","sale","BOBINADO DE MOTOR 7.5HP SC Servicio de mantenimiento co"
"10 HP","5000","2026-06-19","S00054","Embotelladora Mexicana de Bebidas Refrescantes","sale","MX206644Ser embobinado motor 10 HP cambiar STD Servicio"
"10 HP","5000","2026-06-13","S00176","Embotelladora Mexicana de Bebidas Refrescantes","sale","MX206644Ser embobinado motor 10 HP cambiar STD Servicio"
"10 HP","5000","2026-02-23","S00140","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","draft","MX206644Ser embobinado motor 10 HP cambiar STD Servicio"
"10 HP","5000","2026-02-23","S00139","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","draft","MX206644Ser embobinado motor 10 HP cambiar STD Servicio"
"10 HP","5000","2026-02-23","S00137","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","draft","MX206644Ser embobinado motor 10 HP cambiar STD Servicio"
"10 HP","5000","2026-02-23","S00136","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","draft","MX206644Ser embobinado motor 10 HP cambiar STD Servicio"
"10 HP","8500","2026-09-03","S00357","INYECCION Y SOPLADO DEL SURESTE","sale","BOBINADO DE MOTOR 10HP Servicio de mantenimiento correc"
"10 HP","9800","2026-07-21","S00312","PUBLICO GENERAL","draft","BOBINADO DE MOTOR 10HP Servicio de mantenimiento correc"
"10 HP","9800","2026-02-03","S00088","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 10HP Servicio de mantenimiento correc"
"10 HP","9800","2025-12-01","S00007","INGENIO PRESIDENTE BENITO JUAREZ","sent","BOBINADO DE MOTOR 10HP Servicio de mantenimiento correc"
"10 HP","10000","2026-02-20","S00130","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 10HP Servicio de mantenimiento correc"
"10 HP","10800","2026-02-19","S00117","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","draft","BOBINADO DE MOTOR 10HP Servicio de bobinado en estator "
"10 HP","15700","2026-09-03","S00253","Embotelladora Mexicana de Bebidas Refrescantes","sale","MX206644Ser embobinado motor 10 HP cambiar STD Servicio"
"10 HP","16600","2026-07-06","S00294","ROBERTO FAUSTO TAJOLLA","draft","BOBINADO DE MOTOR 10HP Servicio de mantenimiento correc"
"10 HP","16600","2026-06-26","S00277","ROBERTO FAUSTO TAJOLLA","draft","BOBINADO DE MOTOR 10HP Servicio de mantenimiento correc"
"11.3 HP","7000","2026-08-31","S00339","Embotelladora Mexicana de Bebidas Refrescantes","sale","MX206996Ser embobinado motor 11.3 HP cambiar STD Limpie"
"15 HP","8700","2026-05-28","S00230","Embotelladora Mexicana de Bebidas Refrescantes","sale","MX206646Ser embobinado motor 15 HP cambiar STD Embobina"
"15 HP","13050","2026-08-12","S00164","Embotelladora Mexicana de Bebidas Refrescantes","sale","MX206827Ser embobinado motor 15 HP cambiar EXT Servicio"
"15 HP","13050","2026-03-28","S00096","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","sale","MX206827Ser embobinado motor 15 HP cambiar EXT Servicio"
"15 HP","15500","2026-02-19","S00120","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 15HP Servicio de mantenimiento correc"
"15 HP","25500","2026-01-27","S00033","Grupo Industrial Vértice del Sureste, S.A. de C.V.","sale","BOBINADO DE MOTOR 15HP Servicio de mantenimiento correc"
"20 HP","9500","2026-03-28","S00089","Embotelladora Mexicana de Bebidas Refrescantes, S. de R.L. de C.V.","sale","MX206998Ser embobinado motor 20 HP cambiar STD Servicio"
"20 HP","18000","2026-04-10","S00192","ACUAGRANJAS DOS LAGOS","draft","BOBINADO DE MOTOR 20HP Servicio de mantenimiento correc"
"20 HP","18000","2026-03-14","S00162","INGENIO PRESIDENTE BENITO JUAREZ","draft","BOBINADO DE MOTOR 20HP Servicio de mantenimiento correc"
