id,ref,nombre,usd,costoAntes,costoDespues,precioAntes,precioDespues
"7887","016701321-0000","16034","304.16442","3878.1","3878.1","7756.2","7756.2"
"7888","016701321-0030","16034-C3","304.16442","3878.1","3878.1","7756.2","7756.2"
"7889","019011571-0000","16036","367.30011","4683.08","4683.08","9366.16","9366.16"
"7890","019011571-0030","16036-C3","367.30011","4683.08","4683.08","9366.16","9366.16"
"7891","016701348-0000","16038","429.83584500000006","5480.41","5480.41","10960.82","10960.82"
"7892","016701348-0030","16038-C3","429.83584500000006","5480.41","5480.41","10960.82","10960.82"
"13859","038472260-0030","16038-M-C3","584.45829","7451.84","7451.84","14903.68","14903.68"
"7893","019011660-0000","16040","493.04812499999997","6286.36","6286.36","12572.72","12572.72"
"7894","019011660-0030","16040-C3","493.04812499999997","6286.36","6286.36","12572.72","12572.72"
"13860","019011709-0000","16040-M","938.878515","11970.7","11970.7","23941.4","23941.4"
"13861","038437430-0030","16040-MA-C3","938.878515","11970.7","11970.7","23941.4","23941.4"
"7895","019000138-0000","16044","721.01826","9192.98","9192.98","18385.96","18385.96"
"7896","019000138-0030","16044-C3","721.01826","9192.98","9192.98","18385.96","18385.96"
"13862","019011776-0000","16044-M","980.415825","12500.3","12500.3","25000.6","25000.6"
"7897","016701372-0000","16048","1082.510295","13802.01","13802.01","27604.02","27604.02"
"7898","016701372-0030","16048-C3","1082.510295","13802.01","13802.01","27604.02","27604.02"
"13863","019011806-0000","16048-M","1471.90662","18766.81","18766.81","37533.62","37533.62"
"13864","019011814-0000","16048-MA","1471.90662","18766.81","18766.81","37533.62","37533.62"
"13865","019011814-0030","16048-MA-C3","1471.90662","18766.81","18766.81","37533.62","37533.62"
"7899","019011830-0000","16052","1473.451185","18786.5","18786.5","37573","37573"
"7900","019011830-0030","16052-C3","1473.451185","18786.5","18786.5","37573","37573"
"13866","019011865-0000","16052-M","2003.5178099999998","25544.85","25544.85","51089.7","51089.7"
"13867","019011865-0030","16052-M-C3","2003.5178099999998","25544.85","25544.85","51089.7","51089.7"
"13868","016701380-0000","16056-M","2802.53022","35732.26","35732.26","71464.52","71464.52"
"13869","016701380-0030","16056-M-C3","2802.53022","35732.26","35732.26","71464.52","71464.52"
"13870","016701399-0000","16060-M","3601.49157","45919.02","45919.02","91838.04","91838.04"
"13871","016701399-0030","16060-M-C3","3601.49157","45919.02","45919.02","91838.04","91838.04"
"13872","019011920-0000","16064-M","4298.66481","54807.98","54807.98","109615.96","109615.96"
"13873","019011954-0000","16068-M","5557.140630000001","70853.54","70853.54","141707.08","141707.08"
"13874","019011970-0000","16072-M","5853.569460000001","74633.01","74633.01","149266.02","149266.02"
"13875","019011970-0030","16072-M-C3","5853.569460000001","74633.01","74633.01","149266.02","149266.02"
"13876","019011997-0000","16076-M","6057.52863","77233.49","77233.49","154466.98","154466.98"
"13877","019011997-0030","16076-M-C3","6057.52863","77233.49","77233.49","154466.98","154466.98"
"7901","038390418-0000","16100","5.51448","70.31","70.31","140.62","140.62"
"7902","060462710-0000","16100-A","5.51448","70.31","70.31","140.62","140.62"
"7903","060463392-0000","16100-A-2Z","6.81651","86.91","86.91","173.82","173.82"
"7904","016701429-0000","16101","5.859134999999999","74.7","74.7","149.4","149.4"
"7905","038670259-0000","16101-2Z","7.22499","92.12","92.12","184.24","184.24"
"7906","060463651-0000","16101-A","5.859134999999999","74.7","74.7","149.4","149.4"
"7907","060464089-0000","16101-A-2RSR","8.09301","103.19","103.19","206.38","206.38"
"7908","060464089-0030","16101-A-2RSR-C3","8.09301","103.19","103.19","206.38","206.38"
"7909","060464216-0000","16101-A-2Z","7.22499","92.12","92.12","184.24","184.24"
"7910","060463651-0030","16101-A-C3","5.859134999999999","74.7","74.7","149.4","149.4"
"7911","038390450-0000","6000","3.1784850000000002","40.53","40.53","81.06","81.06"
"7912","038390469-0000","6000-2RSR","3.8933249999999995","49.64","49.64","99.28","99.28"
"7913","038390469-0030","6000-2RSR-C3","3.8933249999999995","49.64","49.64","99.28","99.28"
"7914","038390477-0000","6000-2Z","3.293370000000001","41.99","41.99","83.98","83.98"
"13878","061345008-0000","6000-C","3.1784850000000002","40.53","40.53","81.06","81.06"
"10918","061940470-0000","6000-C-2HRS","3.8933249999999995","49.64","49.64","99.28","99.28"
"10919","061940470-0030","6000-C-2HRS-C3","3.8933249999999995","49.64","49.64","99.28","99.28"
"10921","069050597-0030","6000-C-2HRS-L038-C3","3.8933249999999995","49.64","49.64","99.28","99.28"
"10922","095768750-0030","6000-C-2HRS-L038-C3>V","3.8933249999999995","49.64","49.64","99.28","99.28"
"10920","095768750-0000","6000-C-2HRS-L038>V","3.8933249999999995","49.64","49.64","99.28","99.28"
"13880","059372230-0000","6000-C-2Z","3.293370000000001","41.99","41.99","83.98","83.98"
"13881","059372230-0030","6000-C-2Z-C3","3.293370000000001","41.99","41.99","83.98","83.98"
"13882","095702679-0030","6000-C-2Z-C3>V","3.293370000000001","41.99","41.99","83.98","83.98"
"13883","069038864-0000","6000-C-2Z-L038","3.293370000000001","41.99","41.99","83.98","83.98"
"11227","069038864-0030","6000-C-2Z-L038-C3","3.293370000000001","41.99","41.99","83.98","83.98"
"11228","095769226-0030","6000-C-2Z-L038-C3>V","3.293370000000001","41.99","41.99","83.98","83.98"
"13884","095769226-0000","6000-C-2Z-L038>V","3.293370000000001","41.99","41.99","83.98","83.98"
