sap,desc,usd,precio_mxn,familia,marca
"055898297-0000","=-T-ARCALUB-C6-500-A-KIT","1454.46963","37088.98","(otros)","SCHAEFFLER"
"056427441-0000","=-T-ARCALUB-C6-500-A-MC-KIT","1644.3107100000002","41929.92","(otros)","SCHAEFFLER"
"056427654-0000","=-T-ARCALUB-C6-500-B-MC-KIT","1660.279725","42337.13","(otros)","SCHAEFFLER"
"039607658-0000","=-T-ARCALUB-CHAMP-120-B-SPL","158.15835000000004","4033.04","(otros)","SCHAEFFLER"
"039608441-0000","=-T-ARCALUB-CHAMP-120-SPL-TRIAL","306.679125","7820.32","(otros)","SCHAEFFLER"
"039608433-0000","=-T-ARCALUB-CHAMP-120-TRIAL","283.063875","7218.13","(otros)","SCHAEFFLER"
"039607704-0000","=-T-ARCALUB-CHAMP-250-A-SPL","161.04324","4106.60","(otros)","SCHAEFFLER"
"039608468-0000","=-T-ARCALUB-CHAMP-250-SPL-TRIAL","401.08906499999995","10227.77","(otros)","SCHAEFFLER"
"039608450-0000","=-T-ARCALUB-CHAMP-250-TRIAL","377.39722499999993","9623.63","(otros)","SCHAEFFLER"
"039607585-0000","=-T-ARCALUB-CHAMP-60-A-SPL","153.15447","3905.44","(otros)","SCHAEFFLER"
"039607593-0000","=-T-ARCALUB-CHAMP-60-B-SPL","155.669175","3969.56","(otros)","SCHAEFFLER"
"039608425-0000","=-T-ARCALUB-CHAMP-60-SPL-TRIAL","306.679125","7820.32","(otros)","SCHAEFFLER"
"039608417-0000","=-T-ARCALUB-CHAMP-60-TRIAL","283.063875","7218.13","(otros)","SCHAEFFLER"
"039608409-0000","=-T-ARCALUB-COMP-SPL-TRIAL","294.90979500000003","7520.20","(otros)","SCHAEFFLER"
"039608476-0000","=-T-ARCALUB-COMP-TRIAL","259.525215","6617.89","(otros)","SCHAEFFLER"
"039607674-0000","=-T-ARCALUB-MCHAMP-120-A-SPL","235.833375","6013.75","(otros)","SCHAEFFLER"
"039607682-0000","=-T-ARCALUB-MCHAMP-120-B-SPL","241.34785499999998","6154.37","(otros)","SCHAEFFLER"
"039607739-0000","=-T-ARCALUB-MCHAMP-250-A-SPL","246.51768000000004","6286.20","(otros)","SCHAEFFLER"
"039607747-0000","=-T-ARCALUB-MCHAMP-250-B-SPL","251.22796499999998","6406.31","(otros)","SCHAEFFLER"
"039607615-0000","=-T-ARCALUB-MCHAMP-60-A-SPL","235.833375","6013.75","(otros)","SCHAEFFLER"
"039607623-0000","=-T-ARCALUB-MCHAMP-60-B-SPL","238.60338","6084.39","(otros)","SCHAEFFLER"
"019145390-0000","=-T-ARCA-PUMP-180","20828.11437","531116.92","(otros)","SCHAEFFLER"
"019145403-0000","=-T-ARCA-PUMP-25","155.490465","3965.01","(otros)","SCHAEFFLER"
"019144342-0000","=-T-DEMO-ARCALUB","790.6258050000001","20160.96","(otros)","SCHAEFFLER"
"022474358-0000","=-T-DEMO-ARCALUB-C6-SET","1600.67994","40817.34","(otros)","SCHAEFFLER"
"019144350-0000","=-T-DEMO-ARCALUB-SET","474.87076500000006","12109.20","(otros)","SCHAEFFLER"
"019169299-0000","=-T-DEMO-EASYCHECK","1056.4441649999999","26939.33","(otros)","SCHAEFFLER"
"019169280-0000","=-T-DEMO-EASYCHECK-LUB","1162.700025","29648.85","(otros)","SCHAEFFLER"
"022475273-0000","=-T-DEMO-LASER-INLINE","6621.014025","168835.86","(otros)","SCHAEFFLER"
"019210892-0000","=-T-DEMO-LASER-SMARTY","1920.7750800000003","48979.76","(otros)","SCHAEFFLER"
"019003854-0000","=-T-DETECT2.HEADPH-HIGHCLASS","1001.503605","25538.34","(otros)","SCHAEFFLER"
"019169221-0000","=-T-DETECT2.HEADPH-STANDARD","99.41381999999999","2535.05","(otros)","SCHAEFFLER"
"058296956-0000","=-T-DETECT3.RFID-TAG-DOME","23.666310000000003","603.49","(otros)","SCHAEFFLER"
"057550093-0000","=-T-DETECT3-KIT-RFID","10556.361405","269187.22","(otros)","SCHAEFFLER"
"019169345-0000","=-T-EASY-CHECK","551.98413","14075.60","(otros)","SCHAEFFLER"
"019169302-0000","=-T-EASY-CHECK.NIPPLE-G1/4","16.951919999999998","432.27","(otros)","SCHAEFFLER"
